index;first_name;name;age;numero_securite_sociale
1972;Roger;Hammon;44;1 51 03 07 287 452 85
1973;Roger;Lepetit;46;1 43 10 74 418 625 42
1974;Marc;Hammon;57;1 37 08 47 030 113 24
1975;Benoit;Lepetit;4;1 13 04 28 734 564 86
1976;Mathilde;Macron;14;1 68 02 32 875 633 95
1977;Mathilde;Leforgeron;30;1 52 02 51 391 307 07
1978;Mathilde;Ruffin;111;1 11 07 83 124 105 82
1979;Albert;Valls;14;1 67 11 28 618 465 65
1980;François;Wilson;119;1 84 06 52 363 926 26
1981;Mathilde;Hammon;85;1 71 04 74 023 197 41
1982;Albert;Valls;93;1 12 09 76 842 310 09
1983;François;Ben;36;1 15 10 37 982 850 19
1984;Marie;Wilson;91;1 11 06 15 545 807 82
1985;Benoit;Jack;29;1 66 02 88 697 831 24
1986;Marc;Lepetit;73;1 15 07 39 425 057 31
1987;Marie;Macron;18;1 71 03 50 158 704 04
1988;Marie;Ben;33;1 54 03 25 006 677 07
1989;Cyril;Wilson;2;1 75 07 03 256 182 33
1990;Cyril;Ruffin;23;1 32 01 29 668 414 30
1991;Albert;Macron;5;1 73 07 58 499 924 71
1992;Marie;Jack;40;1 78 07 23 591 415 85
1993;Marc;Dugommier;56;1 25 01 76 115 995 82
1994;Mathilde;Jack;11;1 71 10 43 123 045 32
1995;Jean;Ruffin;15;1 58 06 34 816 130 95
1996;Margaux;Wilson;115;1 82 08 32 984 666 11
1997;Mathilde;Leforgeron;109;1 25 03 81 931 331 25
1998;Jean;Valls;11;1 81 08 12 483 489 72
1999;Mathilde;Wilson;105;1 67 02 29 528 193 14
2000;Roger;Jack;59;1 72 10 58 834 132 04
2001;Nathan;Lepetit;29;1 43 04 94 019 673 20
2002;Jean;Jack;67;1 68 07 49 573 527 27
2003;Benoit;Hammon;41;1 83 03 09 928 843 29
2004;Roger;Wilson;75;1 68 10 18 152 796 02
2005;Nathan;Macron;31;1 46 09 91 073 255 86
2006;Albert;Valls;103;1 04 10 71 801 235 06
2007;Cyril;Ben;47;1 83 08 07 704 799 64
2008;Marc;Dugommier;4;1 17 04 23 479 855 51
2009;Jean;Hammon;75;1 87 11 49 101 390 85
2010;Cyril;Valls;111;1 13 01 02 806 109 92
2011;Albert;Lepetit;23;1 78 04 31 002 200 30
2012;Cyril;Ruffin;82;1 12 10 89 284 245 43
2013;Roger;Lepetit;30;1 11 03 88 531 361 06
2014;Cyril;Wilson;54;1 03 03 41 399 861 30
2015;Jean;Valls;116;1 47 09 64 753 329 49
2016;Mathilde;Lepetit;97;1 25 04 28 235 492 62
2017;Roger;Jack;23;1 08 05 77 656 981 27
2018;Jean;Dugommier;7;1 38 11 38 642 133 14
2019;François;Dugommier;23;1 65 10 60 661 652 27
2020;Benoit;Macron;80;1 62 03 64 597 197 66
2021;Albert;Jack;86;1 53 09 66 057 246 43
2022;Mathilde;Ben;8;1 77 06 91 546 817 23
2023;François;Dugommier;119;1 65 01 45 646 579 45
2024;Albert;Macron;17;1 23 05 87 443 232 59
2025;Marc;Valls;46;1 08 09 19 954 047 48
2026;Cyril;Ben;21;1 01 02 51 943 021 84
2027;François;Valls;80;1 76 02 01 242 761 01
2028;Jean;Leforgeron;88;1 04 11 40 243 242 68
2029;Benoit;Valls;58;1 14 01 40 070 932 46
2030;Cyril;Dugommier;57;1 78 06 09 322 315 23
2031;Nathan;Dugommier;67;1 36 11 14 939 839 19
2032;Nathan;Ruffin;111;1 58 09 03 760 251 43
2033;Benoit;Ruffin;48;1 74 01 36 319 152 50
2034;Mathilde;Leforgeron;10;1 42 06 46 654 124 84
2035;Roger;Valls;47;1 84 10 78 879 575 98
2036;Roger;Wilson;16;1 58 07 59 955 454 04
2037;Mathilde;Valls;104;1 51 06 35 047 039 87
2038;Benoit;Macron;97;1 37 11 64 377 774 09
2039;Jean;Wilson;117;1 05 10 78 644 237 58
2040;Jean;Leforgeron;60;1 57 11 23 345 293 44
2041;Roger;Dugommier;5;1 85 08 45 902 526 54
2042;Roger;Leforgeron;34;1 37 03 83 583 391 52
2043;Mathilde;Ben;26;1 07 11 03 355 624 40
2044;Albert;Valls;76;1 53 02 90 594 254 42
2045;Marie;Leforgeron;32;1 67 09 62 183 320 89
2046;Cyril;Hammon;40;1 85 07 68 149 557 49
2047;Roger;Wilson;63;1 27 06 53 327 534 76
2048;Albert;Valls;62;1 27 09 30 969 062 23
2049;Jean;Jack;56;1 24 11 04 363 273 03
2050;Nathan;Wilson;85;1 58 04 03 265 380 13
2051;Roger;Wilson;74;1 85 06 88 160 282 21
2052;François;Dugommier;15;1 17 03 33 309 764 66
2053;Roger;Lepetit;5;1 56 08 82 310 580 31
2054;Marc;Ben;43;1 81 03 27 383 162 83
2055;Marc;Leforgeron;114;1 74 05 25 592 693 17
2056;Benoit;Macron;82;1 84 01 48 074 927 97
2057;François;Macron;4;1 46 09 11 175 143 78
2058;Albert;Ruffin;69;1 38 08 50 966 622 13
2059;Albert;Ruffin;41;1 32 08 94 553 979 42
2060;Jean;Jack;81;1 18 03 67 019 829 60
2061;Mathilde;Valls;29;1 35 07 86 120 582 84
2062;Mathilde;Dugommier;3;1 34 01 82 869 651 49
2063;Roger;Wilson;63;1 83 10 52 523 389 60
2064;Marie;Wilson;89;1 26 04 29 576 194 78
2065;Marie;Dugommier;118;1 62 11 21 035 335 14
2066;Marie;Hammon;20;1 67 10 28 360 653 58
2067;Benoit;Lepetit;27;1 67 10 85 773 334 34
2068;Benoit;Ruffin;21;1 18 08 53 470 585 60
2069;François;Leforgeron;50;1 86 07 49 113 317 65
2070;Marie;Hammon;71;1 55 04 78 647 833 80
2071;Jean;Dugommier;85;1 77 05 38 220 076 17
2072;Marc;Ben;40;1 07 11 77 713 505 01
2073;Benoit;Macron;12;1 68 11 29 326 111 22
2074;Benoit;Leforgeron;52;1 08 10 21 076 126 53
2075;Margaux;Macron;71;1 11 05 33 242 420 51
2076;Margaux;Leforgeron;44;1 67 02 70 516 036 15
2077;Cyril;Leforgeron;58;1 77 05 03 105 076 50
2078;Jean;Wilson;19;1 78 10 71 699 817 47
2079;Cyril;Wilson;93;1 53 10 93 867 782 78
2080;Roger;Valls;3;1 17 09 67 960 437 79
2081;Albert;Leforgeron;22;1 14 05 10 890 951 31
2082;Benoit;Ruffin;18;1 61 03 81 268 434 70
2083;Cyril;Lepetit;36;1 15 09 51 089 523 32
2084;Marc;Macron;22;1 53 11 56 279 597 41
2085;Marc;Macron;82;1 57 08 06 468 643 09
2086;Albert;Jack;103;1 84 07 58 259 575 36
2087;Benoit;Macron;22;1 53 10 38 760 564 55
2088;Jean;Hammon;72;1 87 05 22 806 277 21
2089;Mathilde;Macron;82;1 22 09 68 422 676 13
2090;Marie;Hammon;17;1 11 04 48 435 306 98
2091;Mathilde;Macron;15;1 13 03 57 050 984 56
2092;Marc;Hammon;119;1 73 06 15 088 479 55
2093;Nathan;Wilson;119;1 77 09 92 033 111 74
2094;Nathan;Macron;9;1 05 06 68 680 260 26
2095;Albert;Macron;2;1 56 04 19 338 131 65
2096;Albert;Wilson;78;1 06 11 83 730 016 94
2097;Mathilde;Ben;118;1 56 05 79 753 450 21
2098;Marie;Leforgeron;66;1 23 10 65 226 395 60
2099;Albert;Ben;103;1 44 01 63 269 385 02
2100;Nathan;Ruffin;88;1 38 05 13 330 531 91
2101;Albert;Ruffin;10;1 26 03 43 991 686 02
2102;Marc;Leforgeron;110;1 83 08 90 063 673 67
2103;Marie;Dugommier;1;1 08 08 55 291 263 81
2104;Cyril;Wilson;40;1 65 03 77 025 772 69
2105;Cyril;Ruffin;46;1 15 05 11 714 170 70
2106;François;Valls;115;1 31 06 03 024 716 68
2107;Jean;Lepetit;15;1 82 05 45 105 797 26
2108;Marie;Valls;42;1 15 08 05 994 454 64
2109;Marie;Wilson;63;1 36 10 85 875 122 91
2110;Benoit;Wilson;114;1 47 04 50 124 032 44
2111;Albert;Valls;94;1 64 09 13 427 117 20
2112;François;Wilson;7;1 21 05 40 222 519 38
2113;Benoit;Lepetit;55;1 67 02 76 866 124 47
2114;Benoit;Valls;41;1 18 11 73 383 883 79
2115;François;Macron;41;1 07 04 66 866 625 83
2116;Cyril;Wilson;110;1 52 07 85 545 916 60
2117;Jean;Lepetit;44;1 75 09 40 791 174 49
2118;Benoit;Wilson;78;1 06 06 49 248 554 12
2119;François;Jack;46;1 45 05 61 184 147 41
2120;Mathilde;Ruffin;2;1 54 11 54 612 527 16
2121;Roger;Valls;28;1 44 11 36 505 524 48
2122;Jean;Lepetit;117;1 55 10 42 001 880 97
2123;François;Dugommier;93;1 86 07 34 207 491 38
2124;Benoit;Valls;80;1 17 09 43 837 836 66
2125;Marc;Dugommier;57;1 87 02 29 004 641 48
2126;Nathan;Wilson;73;1 04 06 89 284 187 53
2127;Benoit;Jack;56;1 63 09 40 929 452 95
2128;Marie;Wilson;48;1 81 01 79 581 686 86
2129;Albert;Ruffin;1;1 07 06 58 379 301 49
2130;Albert;Lepetit;93;1 16 05 32 563 458 18
2131;Mathilde;Dugommier;64;1 22 08 27 600 547 20
2132;Benoit;Ben;64;1 35 10 22 207 592 75
2133;Benoit;Wilson;93;1 63 07 04 953 012 50
2134;Nathan;Ruffin;4;1 28 06 67 780 396 22
2135;Jean;Jack;109;1 31 03 26 614 503 76
2136;François;Lepetit;70;1 53 04 45 886 537 01
2137;Roger;Dugommier;92;1 75 04 01 825 577 57
2138;Roger;Valls;75;1 23 02 46 117 628 88
2139;Marc;Ben;119;1 58 01 85 889 176 45
2140;Margaux;Macron;54;1 16 09 62 556 883 78
2141;Benoit;Macron;57;1 82 05 78 545 983 96
2142;Roger;Hammon;114;1 53 03 78 675 763 89
2143;François;Hammon;64;1 72 11 66 758 350 03
2144;Nathan;Ruffin;50;1 86 08 37 703 720 60
2145;Cyril;Leforgeron;89;1 52 02 56 836 678 68
2146;François;Valls;117;1 23 03 48 147 706 87
2147;Nathan;Leforgeron;32;1 81 11 72 483 592 86
2148;Cyril;Ruffin;18;1 84 03 68 566 394 98
2149;Marc;Ruffin;36;1 31 08 54 791 738 63
2150;Nathan;Macron;59;1 23 10 78 402 375 83
2151;Benoit;Ruffin;53;1 13 10 37 929 692 33
2152;Marie;Wilson;52;1 72 10 29 522 143 78
2153;Albert;Lepetit;87;1 76 03 32 893 152 95
2154;Benoit;Ruffin;75;1 58 07 31 171 081 29
2155;Albert;Macron;10;1 55 06 92 565 954 41
2156;Jean;Ruffin;35;1 58 07 62 174 591 17
2157;Roger;Dugommier;87;1 82 05 24 383 903 94
2158;Roger;Leforgeron;90;1 78 10 84 525 277 74
2159;Albert;Jack;37;1 46 03 67 035 950 12
2160;François;Lepetit;39;1 56 06 24 058 986 88
2161;Benoit;Wilson;28;1 57 03 66 506 425 40
2162;Albert;Hammon;13;1 37 06 94 028 112 13
2163;Jean;Valls;48;1 03 09 63 951 643 41
2164;François;Leforgeron;77;1 14 06 56 287 023 46
2165;Marc;Leforgeron;34;1 18 02 30 899 323 28
2166;Albert;Valls;90;1 35 06 27 278 389 36
2167;Nathan;Valls;92;1 71 07 50 992 705 15
2168;Nathan;Leforgeron;106;1 61 10 40 784 803 61
2169;Margaux;Lepetit;49;1 06 06 22 429 681 85
2170;Marc;Leforgeron;79;1 85 10 61 834 853 42
2171;Jean;Ben;12;1 37 01 20 461 392 90
2172;Cyril;Leforgeron;91;1 21 06 43 066 120 40
2173;Albert;Lepetit;108;1 18 10 50 612 672 54
2174;Nathan;Macron;66;1 38 02 49 066 115 82
2175;Margaux;Dugommier;71;1 13 09 58 747 125 27
2176;Marc;Ruffin;96;1 36 10 55 035 470 94
2177;Marc;Lepetit;29;1 72 07 82 386 602 39
2178;Albert;Ben;46;1 84 02 60 422 957 30
2179;Albert;Dugommier;98;1 83 01 46 959 282 95
2180;Nathan;Jack;59;1 81 04 56 883 657 03
2181;Margaux;Leforgeron;102;1 35 04 20 334 767 64
2182;Jean;Wilson;97;1 33 02 01 887 606 22
2183;Jean;Ben;83;1 54 09 24 092 596 64
2184;Mathilde;Jack;106;1 32 06 71 218 527 76
2185;Benoit;Ruffin;19;1 76 11 72 840 640 34
2186;Nathan;Ruffin;18;1 16 10 58 519 349 82
2187;Jean;Ben;41;1 07 03 14 348 372 49
2188;Cyril;Leforgeron;36;1 32 03 48 100 319 89
2189;Jean;Valls;54;1 28 05 23 742 530 93
2190;Marie;Macron;64;1 18 08 43 664 598 26
2191;Marc;Macron;30;1 28 03 57 090 403 77
2192;Albert;Valls;84;1 17 07 63 947 769 14
2193;Marie;Ben;29;1 57 11 66 531 460 32
2194;Mathilde;Macron;51;1 44 05 64 204 578 70
2195;Cyril;Macron;56;1 85 07 94 134 058 53
2196;Benoit;Ruffin;103;1 66 04 36 153 124 39
2197;Jean;Lepetit;100;1 28 09 35 488 193 69
2198;Benoit;Macron;88;1 54 07 49 872 504 74
2199;Benoit;Jack;14;1 33 05 56 916 252 78
2200;Margaux;Ruffin;34;1 25 10 60 369 803 09
2201;Jean;Jack;23;1 18 03 10 275 122 16
2202;Benoit;Leforgeron;58;1 12 10 68 648 753 01
2203;François;Jack;12;1 07 07 91 950 439 71
2204;Marie;Ruffin;98;1 32 10 92 628 777 83
2205;Cyril;Valls;98;1 47 02 93 685 154 35
2206;Roger;Leforgeron;45;1 83 07 74 047 313 24
2207;Roger;Wilson;26;1 55 06 09 187 089 60
2208;Albert;Hammon;12;1 16 02 50 857 926 76
2209;François;Lepetit;24;1 22 01 47 791 064 07
2210;Marie;Leforgeron;93;1 77 02 93 771 309 82
2211;Cyril;Jack;2;1 34 05 20 616 983 96
2212;Marc;Macron;19;1 31 09 90 193 498 17
2213;Mathilde;Dugommier;71;1 86 09 10 709 177 77
2214;Benoit;Leforgeron;82;1 57 10 43 140 479 05
2215;Albert;Leforgeron;113;1 74 11 60 093 299 34
2216;Cyril;Valls;81;1 22 08 11 650 645 01
2217;François;Macron;102;1 82 04 37 933 824 73
2218;Margaux;Leforgeron;33;1 51 05 46 347 059 19
2219;François;Ben;54;1 28 09 82 107 768 56
2220;Marc;Ruffin;44;1 62 05 90 695 867 42
2221;Roger;Hammon;72;1 03 06 02 372 395 87
2222;Benoit;Leforgeron;22;1 77 07 05 796 937 43
2223;Marie;Wilson;31;1 77 02 64 020 789 96
2224;Albert;Hammon;55;1 33 08 30 488 815 74
2225;Cyril;Valls;113;1 23 08 82 625 343 59
2226;François;Dugommier;59;1 47 07 47 743 151 30
2227;Margaux;Jack;37;1 02 03 23 192 587 45
2228;Marc;Wilson;110;1 41 11 43 492 652 38
2229;Cyril;Wilson;12;1 62 03 84 253 893 01
2230;Albert;Leforgeron;57;1 36 08 67 464 740 04
2231;Mathilde;Jack;4;1 48 01 02 725 183 82
2232;Margaux;Leforgeron;67;1 77 10 22 433 226 03
2233;Benoit;Jack;104;1 12 08 86 345 984 94
2234;Benoit;Wilson;10;1 54 08 31 076 687 53
2235;Albert;Valls;42;1 45 08 61 539 888 76
2236;Margaux;Jack;15;1 45 08 79 550 793 52
2237;Benoit;Lepetit;57;1 55 06 54 549 851 13
2238;Roger;Jack;11;1 63 05 70 098 188 29
2239;Mathilde;Macron;93;1 34 01 05 635 300 48
2240;Marc;Ben;8;1 75 06 07 592 816 39
2241;Roger;Wilson;87;1 74 08 28 039 835 90
2242;Mathilde;Valls;114;1 81 03 77 646 658 98
2243;Mathilde;Lepetit;25;1 78 03 78 970 497 54
2244;François;Wilson;10;1 88 03 53 283 322 07
2245;Marie;Ruffin;114;1 08 10 65 834 847 68
2246;Nathan;Dugommier;64;1 22 02 54 592 329 11
2247;Jean;Dugommier;103;1 12 04 24 500 574 06
2248;Marc;Hammon;17;1 23 01 29 118 411 57
2249;Jean;Lepetit;57;1 32 03 15 790 608 54
2250;Nathan;Jack;21;1 27 05 60 162 976 81
2251;Marc;Jack;87;1 75 07 19 150 065 66
2252;Marie;Jack;77;1 53 01 81 507 900 64
2253;Mathilde;Jack;118;1 23 07 55 883 262 15
2254;Mathilde;Jack;10;1 35 01 82 140 773 70
2255;Marc;Leforgeron;98;1 56 05 27 279 052 83
2256;Marie;Valls;72;1 14 03 62 546 531 19
2257;Marc;Ben;11;1 11 11 17 661 737 86
2258;Roger;Wilson;11;1 51 11 21 465 989 08
2259;Mathilde;Jack;33;1 13 05 78 292 794 79
2260;Nathan;Hammon;63;1 72 07 17 715 435 09
2261;Nathan;Ben;9;1 75 07 45 755 244 40
2262;François;Wilson;69;1 62 04 73 822 132 97
2263;Marie;Ben;81;1 01 10 51 783 574 51
2264;Benoit;Ben;104;1 84 10 54 706 601 40
2265;Jean;Dugommier;33;1 05 10 68 327 952 35
2266;Jean;Lepetit;11;1 47 01 67 055 886 71
2267;Cyril;Wilson;99;1 85 04 40 567 395 69
2268;François;Leforgeron;46;1 77 09 49 727 398 86
2269;Albert;Leforgeron;101;1 87 02 53 675 215 86
2270;Cyril;Wilson;83;1 67 06 26 684 583 54
2271;Albert;Macron;53;1 42 10 84 998 754 51
2272;François;Wilson;115;1 27 11 71 480 328 91
2273;Marc;Wilson;79;1 28 06 32 367 015 05
2274;Albert;Jack;58;1 38 05 68 346 014 05
2275;Nathan;Macron;55;1 81 11 77 248 345 89
2276;Roger;Ben;100;1 85 01 36 076 142 04
2277;Jean;Ben;28;1 55 05 85 972 484 36
2278;Albert;Ruffin;32;1 27 08 67 055 847 98
2279;Margaux;Ruffin;31;1 23 10 10 639 806 34
2280;Margaux;Macron;59;1 73 01 75 038 342 59
2281;Jean;Lepetit;60;1 46 08 14 058 293 08
2282;Albert;Jack;84;1 01 06 70 130 421 22
2283;Benoit;Wilson;34;1 18 03 82 608 839 06
2284;Marc;Lepetit;29;1 41 05 46 177 787 05
2285;Nathan;Ruffin;12;1 52 01 50 733 758 92
2286;Roger;Lepetit;58;1 21 02 34 328 972 22
2287;Benoit;Ben;88;1 86 05 38 880 217 06
2288;Albert;Dugommier;92;1 03 07 48 742 610 62
2289;Mathilde;Lepetit;21;1 47 02 90 587 292 67
2290;Jean;Macron;4;1 76 01 32 192 095 55
2291;Roger;Hammon;100;1 05 09 10 263 324 93
2292;Benoit;Jack;119;1 66 02 03 267 105 63
2293;Marc;Valls;67;1 76 03 27 500 713 19
2294;Mathilde;Valls;85;1 56 02 29 051 498 35
2295;François;Leforgeron;83;1 78 08 23 088 315 38
2296;Cyril;Leforgeron;69;1 25 05 85 748 922 32
2297;Margaux;Dugommier;103;1 57 07 23 271 740 44
2298;Nathan;Dugommier;20;1 15 10 83 668 727 96
2299;François;Valls;100;1 68 04 77 215 963 97
2300;Cyril;Macron;46;1 04 01 28 250 996 21
2301;Jean;Leforgeron;29;1 23 09 62 104 455 19
2302;Cyril;Leforgeron;91;1 52 07 12 098 872 58
2303;Marc;Leforgeron;75;1 02 06 43 165 274 85
2304;Roger;Jack;88;1 52 06 82 321 390 07
2305;Albert;Lepetit;26;1 08 02 81 483 040 02
2306;François;Jack;89;1 68 04 87 194 197 35
2307;Albert;Hammon;27;1 48 08 39 099 017 95
2308;Marc;Ruffin;4;1 03 09 91 001 881 39
2309;Benoit;Lepetit;114;1 47 01 02 842 925 96
2310;Mathilde;Valls;109;1 35 03 35 435 492 40
2311;Mathilde;Macron;51;1 75 08 42 511 827 60
2312;Jean;Wilson;26;1 26 10 78 042 886 80
2313;Jean;Ruffin;6;1 46 09 37 662 727 92
2314;Roger;Hammon;3;1 18 09 94 795 869 59
2315;Jean;Hammon;2;1 55 05 12 817 747 10
2316;Roger;Valls;9;1 65 01 70 758 856 08
2317;François;Dugommier;70;1 62 02 67 354 054 51
2318;Cyril;Ruffin;41;1 23 09 46 780 627 72
2319;Marc;Macron;112;1 61 06 75 378 651 20
2320;Margaux;Macron;1;1 71 07 78 302 179 14
2321;Cyril;Dugommier;55;1 34 08 15 137 702 82
2322;Cyril;Jack;108;1 75 10 55 781 083 68
2323;Marie;Ben;25;1 33 09 63 998 658 79
2324;Benoit;Ruffin;110;1 46 01 29 235 732 51
2325;Nathan;Lepetit;74;1 15 10 26 228 858 94
2326;Mathilde;Jack;8;1 05 11 72 128 415 70
2327;Marie;Ruffin;65;1 62 11 49 817 889 05
2328;Marie;Ben;27;1 46 04 70 738 976 33
2329;Marie;Jack;60;1 07 04 07 695 839 26
2330;Benoit;Jack;112;1 02 03 76 302 506 39
2331;François;Macron;86;1 67 03 73 684 985 24
2332;Jean;Leforgeron;118;1 13 11 33 457 334 56
2333;François;Dugommier;28;1 55 09 19 922 145 20
2334;Albert;Lepetit;18;1 21 05 02 549 401 30
2335;Mathilde;Macron;115;1 32 09 08 486 697 60
2336;Marc;Ruffin;45;1 48 08 93 753 968 74
2337;Marc;Macron;53;1 52 03 82 223 307 06
2338;François;Leforgeron;105;1 46 03 36 347 116 19
2339;François;Valls;35;1 78 06 25 199 874 90
2340;Marc;Macron;19;1 58 11 70 602 769 91
2341;Margaux;Ben;92;1 23 02 90 499 344 35
2342;Marc;Ruffin;26;1 57 08 60 346 367 42
2343;Jean;Valls;70;1 16 05 91 895 781 62
2344;Nathan;Ben;109;1 47 10 40 019 385 87
2345;Jean;Macron;17;1 68 11 54 880 355 70
2346;Benoit;Lepetit;77;1 66 03 58 915 565 17
2347;Mathilde;Jack;113;1 66 07 58 376 899 60
2348;Marc;Macron;55;1 52 01 12 813 183 29
2349;Marc;Valls;76;1 24 03 31 461 546 71
2350;Nathan;Lepetit;75;1 67 05 06 746 620 93
2351;Marc;Hammon;25;1 42 01 72 666 725 38
2352;Mathilde;Lepetit;31;1 48 05 21 115 308 12
2353;Benoit;Hammon;79;1 43 04 73 312 009 66
2354;Marc;Wilson;119;1 56 11 43 482 540 70
2355;Nathan;Leforgeron;78;1 07 10 58 389 606 51
2356;Albert;Dugommier;21;1 56 02 37 160 714 46
2357;Jean;Jack;10;1 58 08 33 085 524 98
2358;François;Jack;89;1 11 01 32 641 021 82
2359;Margaux;Leforgeron;89;1 43 07 86 754 731 53
2360;Jean;Valls;80;1 16 11 77 353 306 19
2361;François;Ruffin;98;1 33 01 12 428 399 50
2362;Margaux;Valls;12;1 16 01 37 226 794 74
2363;Marie;Lepetit;117;1 74 06 01 737 375 71
2364;Margaux;Dugommier;86;1 37 11 07 447 603 38
2365;Jean;Jack;18;1 87 05 76 386 134 78
2366;Albert;Lepetit;56;1 73 03 87 914 545 47
2367;Roger;Dugommier;98;1 18 04 03 513 107 09
2368;Roger;Dugommier;100;1 53 01 75 782 206 39
2369;Margaux;Leforgeron;70;1 47 02 43 874 102 72
2370;Jean;Jack;107;1 82 07 63 997 116 85
2371;Benoit;Hammon;116;1 02 04 66 518 794 08
2372;François;Lepetit;94;1 14 03 34 901 302 58
2373;Mathilde;Lepetit;97;1 16 08 56 360 227 74
2374;Mathilde;Ben;47;1 87 01 05 009 298 19
2375;Jean;Macron;21;1 21 04 49 625 612 64
2376;Marie;Lepetit;35;1 18 11 35 790 415 10
2377;Marie;Hammon;34;1 04 09 10 814 689 69
2378;Jean;Macron;70;1 37 06 36 485 414 79
2379;François;Macron;66;1 44 01 21 653 673 14
2380;Cyril;Macron;116;1 72 11 23 858 820 29
2381;Albert;Ben;73;1 27 09 24 660 612 25
2382;Marc;Ben;116;1 47 08 48 428 273 98
2383;Albert;Ruffin;36;1 81 09 30 399 400 79
2384;Benoit;Valls;112;1 27 10 18 645 474 77
2385;Benoit;Valls;38;1 58 09 85 111 322 95
2386;Albert;Ben;105;1 44 03 23 595 154 64
2387;Mathilde;Wilson;103;1 37 09 57 666 523 69
2388;François;Jack;41;1 31 03 22 720 804 28
2389;Benoit;Leforgeron;14;1 63 11 22 805 614 74
2390;Marc;Valls;45;1 57 11 15 735 452 09
2391;Marie;Lepetit;41;1 21 11 45 442 163 57
2392;Roger;Macron;48;1 56 04 43 230 267 71
2393;François;Leforgeron;92;1 54 06 87 649 089 87
2394;Marie;Valls;104;1 63 04 06 895 366 34
2395;Margaux;Leforgeron;109;1 55 10 15 802 311 12
2396;Marie;Hammon;82;1 55 01 72 744 818 32
2397;Albert;Jack;104;1 32 10 68 479 899 46
2398;Jean;Lepetit;17;1 11 10 68 240 648 94
2399;Cyril;Macron;92;1 68 05 41 757 715 95
2400;François;Wilson;76;1 72 06 76 413 178 01
2401;Roger;Macron;80;1 04 02 42 848 884 27
2402;Mathilde;Lepetit;107;1 81 08 60 900 907 28
2403;Albert;Ruffin;62;1 84 11 47 657 386 12
2404;Margaux;Dugommier;85;1 62 04 51 741 805 39
2405;Cyril;Leforgeron;55;1 06 09 90 026 378 20
2406;Marie;Hammon;71;1 32 11 39 193 689 19
2407;Mathilde;Jack;103;1 55 01 94 138 916 63
2408;Nathan;Ruffin;117;1 68 06 74 655 370 87
2409;Cyril;Lepetit;100;1 13 03 77 053 460 33
2410;Marc;Wilson;65;1 27 11 70 707 406 92
2411;Marc;Jack;14;1 17 08 10 032 345 43
2412;Cyril;Ruffin;27;1 53 03 23 004 500 32
2413;Cyril;Ruffin;40;1 21 01 86 851 356 56
2414;Margaux;Ruffin;22;1 56 11 48 899 951 97
2415;Roger;Macron;3;1 63 09 86 767 828 16
2416;Marie;Leforgeron;49;1 44 11 08 717 933 98
2417;Nathan;Ruffin;106;1 88 07 40 943 755 15
2418;Margaux;Dugommier;8;1 75 03 69 803 575 40
2419;Cyril;Dugommier;15;1 37 06 90 950 868 96
2420;Margaux;Leforgeron;106;1 24 01 19 055 612 74
2421;Jean;Wilson;87;1 01 06 72 495 440 32
2422;Jean;Ben;13;1 21 02 33 867 342 55
2423;Jean;Dugommier;13;1 02 09 09 852 812 87
2424;Marc;Ruffin;15;1 62 01 30 988 691 62
2425;Benoit;Jack;98;1 26 08 68 220 027 24
2426;Cyril;Leforgeron;56;1 83 01 45 329 067 16
2427;Marie;Jack;94;1 33 05 38 307 089 42
2428;Cyril;Ruffin;53;1 62 11 13 103 179 72
2429;Jean;Wilson;62;1 07 01 94 654 167 76
2430;Albert;Valls;45;1 48 09 33 304 631 27
2431;François;Leforgeron;119;1 54 07 52 434 696 49
2432;Marc;Ruffin;89;1 84 02 68 574 948 11
2433;Marie;Leforgeron;95;1 08 08 64 259 340 73
2434;Roger;Ruffin;27;1 02 09 46 831 595 05
2435;Mathilde;Ruffin;65;1 82 09 58 923 576 57
2436;François;Ben;48;1 78 02 15 751 584 55
2437;Marc;Ben;60;1 37 08 48 008 938 01
2438;Nathan;Jack;43;1 76 07 30 371 734 84
2439;Marc;Lepetit;80;1 47 05 59 401 991 47
2440;Mathilde;Hammon;2;1 56 06 15 471 176 51
2441;Mathilde;Ben;40;1 26 11 68 683 168 57
2442;Marie;Ben;49;1 78 10 02 473 228 84
2443;Margaux;Macron;38;1 38 05 20 077 395 24
2444;Roger;Hammon;69;1 84 06 05 598 704 14
2445;Mathilde;Hammon;111;1 27 02 46 215 196 52
2446;Albert;Ben;58;1 25 02 07 213 261 44
2447;Albert;Ruffin;12;1 51 09 63 458 141 78
2448;Marc;Macron;4;1 62 02 12 789 976 71
2449;Nathan;Valls;55;1 37 11 42 870 844 67
2450;Albert;Dugommier;115;1 41 01 64 330 014 66
2451;Mathilde;Valls;44;1 44 05 47 018 883 01
2452;Nathan;Dugommier;12;1 32 03 51 267 079 34
2453;Nathan;Wilson;55;1 23 06 15 307 106 58
2454;Mathilde;Valls;116;1 25 05 48 931 192 30
2455;Albert;Hammon;18;1 76 08 42 913 903 85
2456;Albert;Leforgeron;28;1 14 02 73 769 694 32
2457;Benoit;Macron;81;1 22 08 66 722 327 08
2458;Margaux;Hammon;17;1 73 09 05 327 616 27
2459;Mathilde;Lepetit;68;1 28 11 74 689 116 31
2460;Albert;Valls;21;1 71 01 09 139 703 57
2461;Margaux;Valls;19;1 63 06 74 942 417 60
2462;François;Macron;94;1 47 02 51 324 395 39
